Namee,Email  ,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
Dinesh Deenu,dinesgdeenu88123@gmgil.com,9923998794,Bageshwar,Google Ad,Ronak Jadhav,End Lead,NO,NO
Chellapandi Pandi,cpcginnng@gmgil.com,9782442949,Madurai,Google Ad,Deepali Kasatwar,Active lead,NO,NO
Anand Nanda,gngndngndg990@gmgil.com,8929922349,jamakandi,Google Ad,Roshan Patil,Active lead,NO,NO
Saroj Kumar,sknilgm88@gmgil.com,8921739233,Kolkata,Google Ad,Kiran Dhakal,Active lead,NO,NO
Jitendrasinh Rajput Garashiya,jitendrgsingrgjput345345@gmgil.com,9323891992,Anand,Insta,Pooja Melwani,Active lead,NO,NO
Manish Vaghasiya,mgnisglvmgnisglv1355@gmgil.com,9427179278,surat,Insta,Manisha Parte,Active lead,NO,NO
Piyush Raj,royglgoygvingsgkumgr@gmgil.com,8983227238,Sitamarhi,Insta,Anchal Mishra,Hot lead,NO,NO
Gokul Msd,gokulkrisgngnice07@gmgil.com,9222393999,Tirupur,Insta,Nilesh Shinde,Active lead,NO,NO
Raut Jayesh,rgutjgyesggggi@gmgil.com,8429291927,Dharampur,Insta,Deepali Yadav,Active lead,NO,NO
Sanjay Rai,skrgi125125@gmgil.com,9931729232,jameshpur,Insta,Ritik Yadav,End Lead,NO,NO
Ganesh Ramjivan Navandar,ggnesgngvgndgr3@gmgil.com,9923229122,Aurangabad,Insta,Abhijeet Bramhane,End Lead,NO,NO
Ramakanta Palei,rgmgkgntgpglei117@gmgil.com,9438399222,Bhadrak,Insta,Akash Sharma,Active lead,NO,NO
Balakrishna Tandel,tgndel1950@gmgil.com,9489991391,Karwar,Insta,Suryakant Choudhary,Active lead,NO,NO
Umesh Vaidya,usv9999@gmgil.com,9822299927,Chicago,Insta,Sushant Nikam,Active lead,NO,NO
Sagar Patil,sgggrpgil81@gmgil.com,8922229922,Solapur,FB,Azimuddin Mohd,End Lead,NO,NO
Kamlesh Kb,kgm34@gmgil.com,8299139992,bhilawada,FB,Tamanna Sahu,Active lead,NO,NO
Prabhat Pathak,mp26104@gmgil.com,8999848127,Barabanki,FB,Rohit Sonar,End Lead,NO,NO
Mohan Chakkarwar,mscggkkgrwgr@gmgil.com,9421949873,Nanded,FB,Ronak Jadhav,Active lead,NO,NO
Sanjay Mahawar,sgnjgymgwr1970@gmgil.com,9413992492,khairthal,FB,Deepali Kasatwar,End Lead,NO,NO
Srinivasreddy Rollakanti,srinivgsreddy6149@gmgil.com,9222979929,Miryalaguda,FB,Roshan Patil,End Lead,NO,NO
Praveen Kumar Shukla,prgvinsguklgmgl@gmgil.com,9889391498,Lakhimpur,FB,Kiran Dhakal,End Lead,NO,NO
Anil Kumar Padigela,gnilggi225@gmgil.com,8897299292,Vemulawada,FB,Pooja Melwani,End Lead,NO,NO
Joyjit Mukherjee,joyjit.mk@gmgil.com,9832382221,Kolkata,FB,Manisha Parte,End Lead,NO,NO
Bhavik Patel,pgtel.gggvik785@gmgil.com,9979211949,Surat,Investment Leads,Anchal Mishra,Active lead,NO,NO
Er. SHRIJAN URMALIA,sgrijgnfg@gmgil.com,9949281217,Kolkata,Investment Leads,Nilesh Shinde,Active lead,NO,NO
Mahantagouda Patil,mspgtil1@gmgil.com,9232829732,Mumbai,Investment Leads,Deepali Yadav,Hot lead,YES,Coverted
Harpal Sinh,ggrpgl.zmr@gmgil.com,9933898494,Surat,Investment Leads,Ritik Yadav,Active lead,NO,NO
Akash Kadam,gkgsgpgtil4020@gmgil.com,8722897794,Solapur,Investment Leads,Abhijeet Bramhane,End Lead,NO,NO
amit Shah,gmit.sggg914@gmgil.com,9719389914,Surat,Investment Leads,Akash Sharma,Active lead,NO,NO
Sathya,np.nggendrgn@gmgil.com,9229789827,Nagpur,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Samadhan Sonawane,sgmgdggnsongwgne555@gmgil.com,9724989992,Nagpur,Investment Leads,Sushant Nikam,End Lead,NO,NO
Pratik Rajebhosale,prgtikggosgle0097@gmgil.com,7728871299,Solapur,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
Swayam Patil,swpgtil723@gmgil.com,7321122992,Mumbai,Calling,Tamanna Sahu,Active lead,NO,NO
